City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,griffith,41.5284,-87.4237,-11.64,57,0,4.12,US,1675131687
229,petrinja,45.4375,16.29,-0.49,96,5,1.41,HR,1675131688
230,hualmay,-11.0964,-77.6139,22.08,82,100,2.85,PE,1675131651
231,puerto ayora,-0.7393,-90.3518,25.31,89,96,0.94,EC,1675131689
232,bayburt,40.2589,40.2278,-9.2,87,99,1.72,TR,1675131689
233,dawei,14.0833,98.2,24.79,36,59,1.79,MM,1675131690
234,waddan,29.1614,16.139,6.71,74,0,2.98,LY,1675131691
235,ikalamavony,-21.15,46.5833,20.76,93,61,2.31,MG,1675131691
236,san quintin,30.4833,-115.95,12.76,81,93,3.75,MX,1675131692
237,warora,20.2333,79.0,21.24,51,8,2.37,IN,1675131692
238,birin,26.8865,88.0718,13.1,50,96,1.28,NP,1675131693
239,opotiki,-38.0833,177.2833,23.55,71,100,5.49,NZ,1675131693
240,yar-sale,66.8333,70.8333,-27.72,100,64,2.6,RU,1675131694
241,sandanski,41.5667,23.2833,1.53,67,100,1.31,BG,1675131695
242,hambantota,6.1241,81.1185,25.33,81,98,1.75,LK,1675131695
243,kloulklubed,7.0419,134.2556,29.28,79,98,5.49,PW,1675131696
244,tigil,57.8,158.6667,-5.97,82,100,13.26,RU,1675131696
245,kaitangata,-46.2817,169.8464,22.42,62,7,6.11,NZ,1675131139
246,leningradskiy,69.3833,178.4167,-10.76,95,100,5.14,RU,1675131698
247,novorzhev,57.0294,29.3338,0.79,93,100,5.72,RU,1675131698
248,victoria,22.2855,114.1577,18.47,55,100,2.68,HK,1675131617
249,macas,-2.3167,-78.1167,20.75,87,78,1.1,EC,1675131609
250,nemuro,43.3236,145.575,-3.93,55,100,6.73,JP,1675131522
251,alamos,27.0167,-108.9333,16.37,38,100,1.46,MX,1675131700
252,wucheng,29.6008,118.175,13.1,40,0,0.51,CN,1675131700
253,puerto leguizamo,-0.1934,-74.7819,23.58,60,32,0.77,CO,1675131701
254,rio grande,-32.035,-52.0986,23.34,85,0,4.42,BR,1675131702
255,tsiroanomandidy,-18.7667,46.0333,20.21,97,89,0.95,MG,1675131702
256,yelizovo,53.1873,158.3805,-4.92,46,75,7.0,RU,1675131703
257,lebu,-37.6167,-73.65,14.09,83,0,10.0,CL,1675131704
258,kolosovka,56.4678,73.611,-20.0,100,49,2.97,RU,1675131704
259,crossfield,51.4334,-114.0353,-8.43,76,100,0.89,CA,1675131705
260,ulaangom,49.9811,92.0667,-28.35,87,68,1.46,MN,1675131705
261,aswan,24.0934,32.907,16.76,33,14,6.96,EG,1675131706
262,ancud,-41.8697,-73.8203,11.76,67,0,2.75,CL,1675131706
263,san cristobal,7.7669,-72.225,21.1,91,23,1.27,VE,1675131707
264,mayo,38.8876,-76.5119,10.84,83,0,2.57,US,1675131708
265,marawi,7.9986,124.2928,26.18,61,11,1.73,PH,1675131599
266,kalmunai,7.4167,81.8167,23.5,93,100,6.51,LK,1675131642
267,mbandaka,0.0487,18.2603,20.91,93,30,1.97,CD,1675131709
268,guarapari,-20.6667,-40.4975,24.38,89,80,3.59,BR,1675131709
269,belyy yar,53.6039,91.3903,-13.06,85,100,0.0,RU,1675131199
270,leh,34.1667,77.5833,-12.96,89,97,1.44,IN,1675131710
271,bodden town,19.2833,-81.25,26.0,82,20,4.12,KY,1675131711
272,cidreira,-30.1811,-50.2056,23.86,88,6,5.56,BR,1675131711
273,alexander city,32.944,-85.9539,14.06,100,100,0.0,US,1675131712
274,atherton,53.5237,-2.4935,8.57,83,61,1.79,GB,1675131712
275,hoa binh,20.8133,105.3383,16.89,46,24,0.56,VN,1675131713
276,anshun,26.25,105.9333,7.58,37,0,2.96,CN,1675131714
277,olafsvik,64.8945,-23.7142,-0.48,71,100,18.58,IS,1675131660
278,lalas,37.7167,21.7167,6.56,79,98,1.88,GR,1675131715
279,arman,59.7,150.1667,-13.18,78,100,4.57,RU,1675131574
280,thatta,24.7475,67.9235,14.28,35,0,6.01,PK,1675131715
281,huarmey,-10.0681,-78.1522,22.15,81,100,2.01,PE,1675131546
282,mossendjo,-2.9506,12.7261,20.08,99,100,0.39,CG,1675131716
283,itarema,-2.9248,-39.9167,25.32,84,14,3.64,BR,1675131130
284,sakaiminato,35.55,133.2333,4.96,81,75,2.57,JP,1675131717
285,filadelfia,39.9523,-75.1638,8.75,79,40,2.06,US,1675131596
286,mezhova,48.2532,36.7347,-2.0,82,97,2.0,UA,1675131718
287,provideniya,64.3833,-173.3,-1.94,86,100,3.0,RU,1675131719
288,grimshaw,56.1834,-117.6027,-10.21,79,75,1.54,CA,1675131719
289,diego de almagro,-26.3667,-70.05,17.85,51,92,1.24,CL,1675131720
290,lavrentiya,65.5833,-171.0,-2.82,98,100,1.26,RU,1675131720
291,san juan,-31.5375,-68.5364,30.5,37,0,4.09,AR,1675131721
292,tuy hoa,13.0833,109.3,20.43,80,100,2.86,VN,1675131722
293,la asuncion,11.0333,-63.8628,23.01,82,0,4.33,VE,1675131497
294,necochea,-38.5473,-58.7368,19.84,86,0,5.86,AR,1675131722
295,chuy,-33.6971,-53.4616,20.88,91,0,1.7,UY,1675131723
296,usvyaty,55.7456,30.7533,0.09,96,100,5.19,RU,1675131724
297,port elizabeth,-33.918,25.5701,20.16,98,100,6.17,ZA,1675131724
298,prince rupert,54.3161,-130.3201,1.05,93,100,10.29,CA,1675131725
299,tuktoyaktuk,69.4541,-133.0374,-36.0,68,0,0.0,CA,1675131726
300,sao jose da coroa grande,-8.8978,-35.1478,25.44,78,76,2.53,BR,1675131726
